#PLAYER MESSAGES	
SENSEIMSG1	Итак, на этот раз ты будешь учиться преследовать оппонента.
SENSEIMSG2	После каждого твоего удара по Юке, он будет телепортироваться всё дальше и дальше от тебя.
SENSEIMSG3	Таким образом ты не только потренируешь свои умения перед онлайн поединками, но и повеселишься!
SENSEIMSGFAIL	Ох, кажется, я уснул. Ну давай, ты можешь гораздо лучше!
SENSEIMSGEND1	Один удар лучше, чем ничего, но ты точно можешь улучшить результат! Попробуй снова!
SENSEIMSGEND2	Хорошая работа, ты ударил Юке...%d раз. Но всё же ты можешь лучше, продолжай тренироваться!
SENSEIMSGEND3	Отличная работа, ты ударил Юке...%d раз! Продолжай оттачивать свои умения и ты точно станешь мастером преследования!
SENSEIMSGEND4	%d ударов, превосходно! Классная тренировка, теперь от тебя точно никто не убежит!
#	
#HINT MESSAGES	
HINT1	Ты начнёшь преследование в моде под названием ЛЕНШУ, который был немного изменён. Он отличается от айкидо тем, что здесь можно касаться пола любой частью тела, но лишь на короткое время. Однако заступай за пределы ринга, иначе будешь немедленно дисквалифицирован.
